date,state,device,type,message,temperature,linkquality,humidity,pressure,contact,illuminance,occupancy,battery,voltage,description,winddirection,windspeed,precipitation
2019-04-02 10:59:13,online,0201A17A7A16,,,,,,,,,,,,,,,
2019-04-02 11:16:08,online,0201A17A7A16,,,,,,,,,,,,,,,
2019-04-02 11:17:13,,,device_connected,0x00158d000247e764,,,,,,,,,,,,,
2019-04-02 11:17:16,,,,,23.96,115.0,,,,,,,,,,,
2019-04-02 11:17:16,,,,,23.96,115.0,68.27,,,,,,,,,,
2019-04-02 11:17:16,,,,,23.96,115.0,68.27,1015.0,,,,,,,,,
2019-04-02 11:17:20,,,,,24.1,102.0,68.27,1015.0,,,,,,,,,
2019-04-02 11:17:20,,,,,24.1,102.0,61.87,1015.0,,,,,,,,,
2019-04-02 11:17:20,,,,,24.1,102.0,61.87,1015.0,,,,,,,,,
2019-04-02 11:17:36,,,,,24.24,94.0,61.87,1015.0,,,,,,,,,
2019-04-02 11:17:36,,,,,24.24,94.0,55.24,1015.0,,,,,,,,,
2019-04-02 11:17:39,,,pairing,device incoming,,,,,,,,,,,,,
2019-04-02 11:18:05,,,pairing,connecting with device,,,,,,,,,,,,,
2019-04-02 11:18:08,,,pairing,connecting with device,,,,,,,,,,,,,
2019-04-02 11:18:10,,,device_connected,0x00158d000232aa2d,,,,,,,,,,,,,
2019-04-02 11:18:10,,,,,,52.0,,,True,,,,,,,,
2019-04-02 11:18:10,,,,,,68.0,,,False,,,,,,,,
2019-04-02 11:18:12,,,,,,63.0,,,True,,,,,,,,
2019-04-02 11:18:13,,,,,,76.0,,,False,,,,,,,,
2019-04-02 11:18:15,,,,,,86.0,,,True,,,,,,,,
2019-04-02 11:18:21,,,pairing,device incoming,,,,,,,,,,,,,
2019-04-02 11:18:55,,,device_connected,0x00158d00024e74d6,,,,,,,,,,,,,
2019-04-02 11:19:17,,,,,,102.0,,,,134.0,,,,,,,
2019-04-02 11:19:17,,,,,,102.0,,,,134.0,True,,,,,,
2019-04-02 11:19:25,,,,,,102.0,,,,96.0,True,,,,,,
2019-04-02 11:19:25,,,,,,102.0,,,,96.0,True,,,,,,
2019-04-02 11:19:31,,,,,,86.0,,,,7.0,True,,,,,,
2019-04-02 11:19:31,,,,,,86.0,,,,7.0,True,,,,,,
2019-04-02 11:19:38,,,,,,52.0,,,,4.0,True,,,,,,
2019-04-02 11:19:40,,,,,,55.0,,,,4.0,True,,,,,,
2019-04-02 11:19:42,,,,,,39.0,,,,3.0,True,,,,,,
2019-04-02 11:19:46,,,pairing,device incoming,,,,,,,,,,,,,
2019-04-02 11:19:47,,,,,,55.0,,,,5.0,True,,,,,,
2019-04-02 11:19:49,,,,,,52.0,,,,5.0,True,,,,,,
2019-04-02 11:19:51,,,,,,52.0,,,,4.0,True,,,,,,
2019-04-02 11:19:53,,,,,,60.0,,,,5.0,True,,,,,,
2019-04-02 11:19:55,,,,,,60.0,,,,5.0,True,,,,,,
2019-04-02 11:19:57,,,,,,52.0,,,,6.0,True,,,,,,
2019-04-02 11:19:59,,,,,,52.0,,,,5.0,True,,,,,,
2019-04-02 11:20:01,,,,,,57.0,,,,5.0,True,,,,,,
2019-04-02 11:20:03,,,,,,52.0,,,,6.0,True,,,,,,
2019-04-02 11:20:05,,,,,,55.0,,,,6.0,True,,,,,,
2019-04-02 11:20:07,,,,,,65.0,,,,4.0,True,,,,,,
2019-04-02 11:20:09,,,,,,63.0,,,,4.0,True,,,,,,
2019-04-02 11:20:11,,,,,,65.0,,,,3.0,True,,,,,,
2019-04-02 11:20:13,,,,,,70.0,,,,4.0,True,,,,,,
2019-04-02 11:20:16,,,,,,65.0,,,,3.0,True,,,,,,
2019-07-08 14:50:31,online,status,,,,,,,,,,,,,,,
2019-07-08 14:51:30,,,,,,63.0,,,,,True,,,,,,
2019-07-08 14:51:33,,,,,26.68,70.0,,,,,,,,,,,
2019-07-08 14:51:33,,,,,26.68,70.0,81.89,,,,,,,,,,
2019-07-08 14:51:44,,,,,,89.0,,,,263.0,True,100.0,3055.0,,,,
2019-07-08 14:51:49,,,,,,94.0,,,,49.0,True,100.0,3055.0,,,,
2019-07-08 14:51:49,,,,,,94.0,,,,49.0,True,100.0,3055.0,,,,
2019-07-08 14:51:53,,,,,27.62,78.0,81.89,1012.0,,,,,,,,,
2019-07-08 14:51:53,,,,,27.62,78.0,79.68,1012.0,,,,,,,,,
2019-07-08 14:51:53,,,,,27.62,86.0,79.68,1012.0,,,,,,,,,
2019-07-08 14:52:03,,,,,28.03,99.0,79.68,1012.0,,,,,,,,,
2019-07-08 14:52:03,,,,,28.03,99.0,71.9,1012.0,,,,,,,,,
2019-07-08 14:52:34,,,,,28.59,89.0,71.9,1012.0,,,,,,,,,
2019-07-08 14:52:34,,,,,28.59,89.0,66.86,1012.0,,,,,,,,,
2019-07-08 14:52:34,,,,,28.59,89.0,66.86,1012.0,,,,,,,,,
2019-07-08 14:53:19,,,,,,94.0,,,,49.0,False,100.0,3055.0,,,,
2019-07-08 14:53:50,,,,,,81.0,,,True,,,,,,,,
2019-07-08 14:53:51,,,,,,89.0,,,False,,,,,,,,
2019-07-08 14:53:52,,,,,,86.0,,,True,,,,,,,,
2019-07-08 14:53:52,,,,,,89.0,,,False,,,,,,,,
2019-07-08 14:54:04,,,,,,73.0,,,True,,,,,,,,
2019-07-08 14:54:27,offline,status,,,,,,,,,,,,,,,
2019-07-10 09:44:45,online,status,,,,,,,,,,,,,,,
2019-07-10 09:45:43,,,,,,89.0,,,,246.0,False,100.0,3055.0,,,,
2019-07-10 09:45:43,,,,,,89.0,,,,246.0,True,100.0,3055.0,,,,
2019-07-10 09:45:52,,,,,,94.0,,,False,,,,,,,,
2019-07-10 09:45:52,,,,,,94.0,,,False,,,100.0,3005.0,,,,
2019-07-10 09:45:53,,,,,,92.0,,,True,,,100.0,3005.0,,,,
2019-07-10 09:45:54,,,,,,92.0,,,False,,,100.0,3005.0,,,,
2019-07-10 09:45:56,,,,,,34.0,,,True,,,100.0,3005.0,,,,
2019-07-10 09:45:59,,,,,,102.0,,,True,,,100.0,3005.0,,,,
2019-07-10 09:47:13,,,,,,89.0,,,,246.0,False,100.0,3055.0,,,,
2019-07-10 09:47:17,,,,,,78.0,,,,116.0,False,100.0,3055.0,,,,
2019-07-10 09:47:17,,,,,,84.0,,,,116.0,True,100.0,3055.0,,,,
2019-07-10 09:47:32,,,,,28.04,36.0,66.86,1012.0,,,,,,,,,
2019-07-10 09:47:32,,,,,28.04,34.0,73.58,1012.0,,,,,,,,,
2019-07-10 09:47:32,,,,,28.04,36.0,73.58,1012.0,,,,,,,,,
2019-07-10 09:47:42,,,,,28.42,92.0,73.58,1012.0,,,,,,,,,
2019-07-10 09:47:42,,,,,28.42,84.0,62.82,1012.0,,,,,,,,,
2019-07-10 09:47:42,,,,,28.42,84.0,62.82,1012.0,,,,,,,,,
2019-07-10 09:48:20,offline,status,,,,,,,,,,,,,,,
2019-07-13 17:43:46,online,status,,,,,,,,,,,,,,,
2019-07-13 18:01:05,,,,,22.9,,75.0,1015.1,,,,,,Aveiro (Universidade) @ 2019-07-13T17:00,Este,14.0,0.0
2019-07-13 18:45:47,online,status,,,,,,,,,,,,,,,
2019-07-13 19:01:04,,,,,21.9,,80.0,1015.5,,,,,,Aveiro (Universidade) @ 2019-07-13T18:00,Este,13.7,0.0
2019-07-13 19:34:47,,,,,26.72,28.0,74.7,1011.2,,,,80.0,2965.0,,,,
2019-07-13 19:34:51,,,,,26.79,28.0,74.7,1011.2,,,,80.0,2965.0,,,,
2019-07-13 19:34:51,,,,,26.79,28.0,72.3,1011.2,,,,80.0,2965.0,,,,
2019-07-13 19:34:54,,,,,26.75,28.0,72.3,1011.0,,,,80.0,2965.0,,,,
2019-07-13 19:34:55,,,,,26.75,28.0,70.77,1011.0,,,,80.0,2965.0,,,,
2019-07-13 19:34:55,,,,,26.75,28.0,70.77,1011.0,,,,80.0,2965.0,,,,
